Elution volume;;UV1_280nm;Activity [%];Absorption at 280nm;UV2_360nm;;UV3_410nm;;Cond;;Cond%;;Conc;;pH;;Pressure;;Flow;;Temp;;Fractions;;Inject;;UV1_280nm@01,BASEM;;Logbook;
ml;;min;activity;280 nm;min;mAU;min;mAU;min;mS/cm;min;%;min;%B;min;;min;MPa;min;ml/min;min;°C;fractions;(Fractions);min;(Injections);min;mAU;min;(Set Marks)
0.00;;0.00;;-0.01;0.00;0.00;0.00;0.00;0.00;21.11;0.00;21.10;0.00;0.00;0.00;7.06;0.00;0.00;0.00;0.70;0.00;26.40;0.78;1;0.00;3;0.00;-0.02;-0.14;Method Run 1/27/2021, 4:27:51 PM W. Europe Standard Time, Method : Nadine
0.04;;0.05;;-0.04;0.05;178.57;0.05;150.24;0.06;21.10;0.07;21.10;0.07;0.00;0.07;7.08;0.06;0.72;0.06;0.70;0.07;26.40;2.21;2;;;0.05;-0.04;-0.14;User default in control of the run
0.08;;0.11;;0.27;0.11;318.70;0.11;310.26;0.12;21.04;0.13;21.00;0.13;0.00;0.13;7.08;0.12;1.17;0.12;0.70;0.13;26.40;3.64;3;;;0.11;-0.02;-0.14;Batch ID: C56FE236-4B24-4038-A6E3-A142E8E52C4D
0.12;;0.16;;0.57;0.16;318.76;0.16;310.21;0.18;20.99;0.20;21.00;0.20;0.00;0.20;7.08;0.17;1.18;0.18;0.70;0.20;26.40;5.07;4;;;0.16;-0.01;-0.14;Base CV, 23.56 {ml}, Superdex_200_10/300_GL
0.16;;0.21;;0.44;0.21;318.70;0.21;310.10;0.23;20.96;0.27;21.00;0.27;0.00;0.27;7.08;0.23;1.19;0.23;0.70;0.27;26.40;6.50;5;;;0.21;-0.01;-0.10;Block Start_with_PumpWash_Purifier
0.20;;0.27;;0.46;0.27;318.71;0.27;310.11;0.29;20.95;0.33;20.90;0.33;0.00;0.33;7.07;0.29;1.20;0.29;0.70;0.33;26.40;7.93;6;;;0.27;-0.01;-0.10;Base SameAsMain
0.25;;0.32;;0.56;0.32;318.74;0.32;310.20;0.35;20.94;0.40;20.90;0.40;0.00;0.40;7.07;0.35;1.21;0.35;0.70;0.40;26.40;9.36;7;;;0.32;0.00;-0.03;PumpWashPurifier OFF, OFF, OFF, OFF
0.29;;0.37;;0.73;0.37;318.76;0.37;310.23;0.41;20.94;0.47;20.90;0.47;0.00;0.47;7.07;0.41;1.21;0.41;0.70;0.47;26.40;10.79;8;;;0.37;0.00;-0.03;End Block
0.33;;0.43;;1.15;0.43;318.87;0.43;310.28;0.47;20.93;0.53;20.90;0.53;0.00;0.53;7.07;0.47;1.19;0.47;0.70;0.53;26.40;12.22;9;;;0.43;0.01;-0.03;Block Flow_Rate
0.37;;0.48;;1.24;0.48;318.88;0.48;310.33;0.53;20.91;0.60;20.90;0.60;0.00;0.60;7.07;0.52;1.19;0.53;0.70;0.60;26.40;13.65;10;;;0.48;0.01;-0.03;Base SameAsMain
0.41;;0.53;;1.07;0.53;318.83;0.53;310.29;0.58;20.90;0.67;20.90;0.67;0.00;0.67;7.07;0.58;1.19;0.58;0.70;0.67;26.40;15.08;11;;;0.53;0.01;-0.03;Flow    0.700 ml/min
0.45;;0.59;;0.88;0.59;318.80;0.59;310.18;0.64;20.89;0.73;20.90;0.73;0.00;0.73;7.07;0.64;1.19;0.64;0.70;0.73;26.40;16.51;12;;;0.59;0.02;-0.03;End Block
0.49;;0.64;;0.74;0.64;318.80;0.64;310.15;0.70;20.88;0.80;20.90;0.80;0.00;0.80;7.07;0.70;1.21;0.70;0.70;0.80;26.40;17.94;13;;;0.64;0.02;-0.03;Block Column_Pressure_Limit
0.53;;0.69;;0.67;0.69;318.80;0.69;310.15;0.76;20.87;0.87;20.90;0.87;0.00;0.87;7.07;0.76;1.20;0.76;0.70;0.87;26.40;19.37;14;;;0.69;0.02;-0.03;Base SameAsMain
